Zone,Price,Years,Rooms,Area,NumberOfElevators,floor,direction
کامرانیه  ,8400,3,2,120,1,5,شمالی
  میرداماد ,5928,0,2,80,1,3,
  پاسداران ,4450,0,1,68,1,1,
  شمس آباد ,6,0,2,120,1,2,
  تهرانپارس ,,0,2,104,1,2,
  ظفر ,7700,8,3,131,1,1,
  ولنجک ,20900,0,3,220,0,,
  ولنجک ,16,1,3,160,0,,
  قیطریه ,10200,0,2,120,1,3,
  میرداماد ,13800,12,4,275,1,5,
  میرداماد ,12300,0,3,175,1,2,
  هروی ,4998,15,2,98,1,5,
  فرمانیه ,10296,7,3,143,1,4,
  فرمانیه ,12750,0,3,170,1,5,
  اختیاریه ,10700,0,3,127,1,4,
  فرمانیه ,27500,3,3,214,1,4,
  زعفرانیه ,22,0,3,200,0,,
  زعفرانیه ,20535,0,3,185,0,,
  فرمانیه ,30400,13,3,320,1,9,
  هروی ,7800,7,3,141,1,4,
  اختیاریه ,7260,0,2,110,1,5,
  اختیاریه ,10500,25,3,96,1,1,
  اختیاریه ,19800,1,4,234,1,1,
  اختیاریه ,5900,13,2,90,1,2,
  زعفرانیه ,27500,0,3,250,0,,
  مهران ,5,14,2,105,1,3,
  میرداماد ,17600,0,3,205,1,5,
  خیابان دولت ,70,5,2,105,1,3,
  اختیاریه ,6600,22,3,125,1,4,
  اختیاریه ,5680,19,2,125,1,4,
  اختیاریه ,8200,6,3,126,1,1,
  دیباجی ,4300,18,2,105,1,2,
  قیطریه ,10920,0,2,131,1,5,
  هروی ,9440,15,3,160,1,1,
  زعفرانیه ,17100,2,3,190,0,,
  کامرانیه شمالی ,12,1,3,150,1,4,شمالی
  اختیاریه ,3900,15,2,75,1,4,
  پاسداران ,10270,0,2,130,1,3,
  اختیاریه ,5520,20,3,115,1,1,
  الهیه ,38,1398,4,350,2,4,جنوبی، غربی
  میرداماد ,6,30,2,120,1,3,
  نیاوران ,22,15,4,280,1,3,
  جلفا تهران ,8100,1,3,135,1,3,
  مهران ,3,30,2,80,1,4,
  دیباجی ,3300,25,1,64,1,4,
  دیباجی ,7500,17,2,120,1,0,
  جلفا تهران ,5,10,2,100,1,4,
  اختیاریه ,"6,50",21,2,144,1,3,
  شمس آباد ,8880,1,3,148,1,2,
  مهران ,4450,5,2,81,1,4,
  شمس آباد ,3500,18,2,70,1,6,
  خیابان دولت ,13950,0,3,170,1,4,
  اختیاریه ,3100,12,2,62,1,1,
  جلفا تهران ,7176,7,3,138,1,1,
  قلهک ,8700,6,3,145,1,1,
 ,3700,2,2,125,1,4,
 ,,0,2,90,1,5,
 ,20,0,2,1650,1,1,
  میرداماد ,12,0,3,150,1,5,
  مهران ,2730,30,2,75,1,2,
  اختیاریه ,10900,5,3,180,1,1,
  میرداماد ,5250,0,1,70,1,1,
  اختیاریه ,4350,19,3,107,1,1,
  اختیاریه ,7,15,3,140,1,1,
  میرداماد ,7650,0,2,90,1,4,
  شمس آباد ,3100,16,2,85,1,2,
  قیطریه ,9877,0,2,119,1,3,
  جلفا تهران ,3500,26,2,90,1,1,
  ظفر ,6900,2,2,115,1,4,
  تهران ,5800,17,2,125,1,4,
  مهران ,3800,20,2,95,1,2,
  قیطریه ,4900,30,2,81,1,1,
  جلفا تهران ,1900,20,1,55,1,0,
"
            ",535,17,1,51,0,3,
  قیطریه ,10400,15,3,174,1,5,
"
            ",345,10,1,60,1,1,
  اختیاریه ,3800,17,2,76,1,1,
  اختیاریه ,5300,25,2,110,1,2,
 ,609,10,1,58,1,1,جنوبی
  قلهک ,7,1,2,117,1,4,
  جلفا تهران ,2360,11,2,70,1,3,
  هروی ,4136,17,2,88,1,2,
  جمشیدیه ,14400,2,3,180,0,,
  قیطریه ,12800,0,3,152,1,3,
  میرداماد ,12,16,4,185,1,4,
  ظفر ,6900,40,2,117,1,1,
  هروی ,8800,3,3,160,1,5,
 ,5600,13,4,243,1,2,
  تهرانپارس ,,14,2,71,1,2,
  تهرانپارس غربی ,5460,0,3,130,1,3,جنوبی
  میرداماد ,12,30,4,300,1,3,
  تهرانپارس غربی ,5250,0,3,125,1,5,شمالی
  قیطریه ,10500,15,3,175,1,5,
  فلکه اول تهرانپارس ,14500,2,3,225,1,4,جنوبی
  فلکه اول تهرانپارس ,4300,7,2,120,1,2,جنوبی
  اختیاریه ,6700,10,2,90,1,3,
  پاسداران ,8540,15,3,140,1,1,
  پاسداران ,4400,0,1,68,1,1,
  میرداماد ,6,15,2,120,1,1,
  پاسداران ,4900,12,3,100,1,1,
  قیطریه ,6300,3,2,90,1,6,
  هروی ,7,0,3,140,1,4,
  قیطریه ,11480,17,4,205,1,5,
  قیطریه ,6800,6,3,132,1,1,
  میرداماد ,9970,0,2,130,1,1,
  اختیاریه ,10600,0,3,130,1,5,
  اختیاریه ,1900,24,1,55,1,0,
  ولنجک ,24150,4,3,230,0,,
  قیطریه ,14535,0,3,171,1,4,
"
            ",6600,0,2,120,1,3,
  دیباجی ,5800,17,2,125,1,4,
  دیباجی ,8300,0,2,115,1,5,
"* فاز یک اندیشه*
            ",,9,1,58,0,3,
  قیطریه ,11480,17,4,205,1,5,
  اختیاریه ,10,3,3,150,1,4,
  خیابان دولت ,6760,18,2,123,1,3,
  میرداماد ,7900,1,2,95,1,5,
  خیابان دولت ,7500,14,2,120,1,1,
  قیطریه ,7865,20,3,143,1,3,
  قیطریه ,13,0,3,150,1,4,
  هروی ,3700,3,2,98,1,3,
  بوکان ,20790,1,3,231,2,8,جنوبی
  هروی ,9660,7,3,138,1,2,
"
            ",,19,1,65,0,1,
  هروی ,4100,9,2,86,1,5,
 ,"1,24",19,2,64,0,4,
  نیاوران ,14250,11,3,190,1,5,شمالی، جنوبی
  دیباجی ,4400,25,3,110,1,1,
  هروی ,7700,9,2,140,1,4,
  نیاوران ,21,0,3,176,1,6,
  میرداماد ,13900,17,3,215,1,1,
  قیطریه ,6,8,2,85,1,3,
  هروی ,7150,5,2,110,1,2,
  نیاوران ,28200,0,3,235,1,2,شمالی، غربی
  ظفر ,8322,14,3,146,1,3,
  فرمانیه ,6720,5,2,105,1,5,
  میرداماد ,14800,13,4,270,1,5,
  میرداماد ,9380,4,3,138,1,5,
  میرداماد ,16800,0,3,210,1,2,
  تیرانداز ,9500,10,4,230,1,3,جنوبی
  ظفر ,14300,0,3,220,1,3,
  میرداماد ,12600,0,3,185,1,3,
  قیطریه ,13400,0,2,130,1,5,
  میرداماد ,13,0,3,165,1,3,
  مهران ,6750,5,3,125,1,4,
  فرمانیه ,40,0,4,400,2,8,شمالی
  سید خندان ,6760,6,3,125,1,4,
  ظفر ,7700,8,3,130,1,1,
  اقدسیه ,40,0,4,300,2,3,جنوبی
  قیطریه ,20400,0,4,240,1,1,
  مهران ,5500,0,2,95,1,4,
  میرداماد ,4800,0,1,70,1,2,
  قیطریه ,11,2,3,170,1,3,جنوبی
" فروشی در نسترن ۶ کمالشهر
            ",260,7,1,55,1,3,
  جلفا تهران ,5500,1,2,100,1,4,
  پاسداران ,8250,7,2,130,1,4,
  جلفا تهران ,6350,0,3,115,1,3,
  جلفا تهران ,3680,5,2,80,1,1,
  تهرانپارس غربی ,9600,0,3,202,1,1,شمالی
  دیباجی ,3,9,2,61,1,3,
  زعفرانیه ,19760,4,3,208,0,,
  فلکه اول تهرانپارس ,12500,0,3,196,1,2,شمالی
  میرداماد ,6100,0,2,80,1,3,
  ظفر ,6900,2,2,115,1,4,
  اختیاریه ,8100,5,2,120,1,1,
  ظفر ,7,5,3,144,1,1,
  دروس ,6500,29,3,137,1,9,
  جردن ,10,1,3,135,1,3,
  جلفا تهران ,3550,5,2,80,1,1,
  هروی ,7840,8,2,140,1,4,
  ظفر ,6800,15,3,130,1,1,
  محمودیه ,20700,11,3,230,0,,
  محمودیه ,22540,5,4,230,0,3,
  قلهک ,5200,5,2,80,1,4,
  ظفر ,9,1,3,120,1,4,
  قلهک ,10900,6,3,180,1,1,
  ظفر ,9300,1,3,136,1,2,
  قیطریه ,19400,0,3,205,1,4,
  پاسداران ,7200,25,3,140,1,2,
  قلهک ,6800,15,3,130,1,1,
  دیباجی ,6800,17,2,125,1,4,
" فرمانیه برج باغ
            ",14,4,3,158,1,3,-
  قلهک ,6800,15,3,130,1,1,
